,name,accuracy,precision,recall,f1,duration_s
0,IoT_2020-ARF-ADWIN,98.63,98.35000000000001,88.77000000000001,92.97,0.941878080368042
1,IoT_2020-ARF-DDM,97.28,90.67,82.37,85.98,1.1081180572509766
2,IoT_2020-AMF,95.91,96.41999999999999,64.72,71.56,12.467401027679443
3,IoT_2020-EFDT,97.3,95.62,78.14999999999999,84.56,3.232567071914673
4,IoT_2020-HAT,95.28999999999999,86.64,62.21,67.60000000000001,0.5832681655883789
5,IoT_2020-HTC,95.1,81.72,63.27,68.19,0.43203091621398926
6,IoT_2020-SGT,95.84,91.35,66.0,72.45,2.2398557662963867
7,IoT_2020-ADWIN-BA-HT,95.56,89.87,63.660000000000004,69.64,1.4642038345336914
8,IoT_2020-ADWIN-BO-HT,95.52000000000001,91.07,62.77,68.69,1.5303711891174316
9,IoT_2020-ADA-HT,95.75,90.72,65.36999999999999,71.67,1.5627901554107666
10,IoT_2020-BOLE-HT,96.61,89.27000000000001,76.03,81.12,1.4122788906097412
11,IoT_2020-BAG-HT,95.43,84.85000000000001,65.34,70.81,1.2638468742370605
12,IoT_2020-LEVBAG-HT,97.44,91.41,83.33,86.87,5.895384073257446
13,IoT_2020-SRP-HT,97.96000000000001,98.71,82.28999999999999,88.64,4.778558969497681
14,IoT_2020-SRP-ADWIN,98.77,97.61999999999999,90.74,93.88,4.644850969314575
15,IoT_2020-SRP-DDM,98.86,98.35000000000001,90.94,94.28999999999999,4.538126230239868
16,IoT_2020-ARF-ADWIN,98.97,98.76,91.58,94.85,1.1666069030761719
17,IoT_2020-ARF-DDM,98.67,97.85000000000001,89.52,93.24,1.404515027999878
18,IoT_2020-AMF,97.89,98.44000000000001,81.81,88.2,15.729488134384155
19,IoT_2020-EFDT,98.9,98.71,90.96,94.46,4.922534942626953
20,IoT_2020-HAT,98.05,92.38,88.9,90.55,0.662811279296875
21,IoT_2020-HTC,98.33,94.59,89.34,91.78,0.4065248966217041
22,IoT_2020-SGT,98.52,97.39,88.57000000000001,92.47,2.7029240131378174
23,IoT_2020-ADWIN-BA-HT,96.87,95.73,73.98,81.08,1.3945441246032715
24,IoT_2020-ADWIN-BO-HT,95.66,84.92,68.53,73.87,1.6641840934753418
25,IoT_2020-ADA-HT,98.05,90.49000000000001,91.67,91.07,1.471693754196167
26,IoT_2020-BOLE-HT,97.99,89.72,92.36999999999999,91.0,1.4564857482910156
27,IoT_2020-BAG-HT,98.21,94.97,87.67,90.95,1.1932342052459717
28,IoT_2020-LEVBAG-HT,99.06,97.57000000000001,93.52000000000001,95.44,5.691421031951904
29,IoT_2020-SRP-HT,98.00999999999999,94.99,85.67,89.72,4.66052508354187
30,IoT_2020-SRP-ADWIN,99.11,99.53,92.24,95.56,6.13130784034729
31,IoT_2020-SRP-DDM,99.27,98.8,94.36,96.46000000000001,5.657822132110596
32,IoT_2020-ARF-ADWIN,99.42999999999999,99.53999999999999,95.17999999999999,97.24000000000001,1.1041309833526611
33,IoT_2020-ARF-DDM,99.15,98.4,93.57,95.84,1.3970861434936523
34,IoT_2020-AMF,99.09,99.52,92.08,95.46,16.562429189682007
35,IoT_2020-EFDT,98.42,92.32000000000001,93.17999999999999,92.74,4.265223979949951
36,IoT_2020-HAT,98.00999999999999,92.43,88.44,90.32,0.6503169536590576
37,IoT_2020-HTC,98.6,96.81,89.77000000000001,92.97,0.4080939292907715
38,IoT_2020-SGT,98.61,98.34,88.62,92.86,2.298342227935791
39,IoT_2020-ADWIN-BA-HT,96.32,96.53,68.44,75.78,1.4419269561767578
40,IoT_2020-ADWIN-BO-HT,95.95,92.63,66.49000000000001,73.15,1.5900771617889404
41,IoT_2020-ADA-HT,98.47,93.46,92.19000000000001,92.81,1.5361621379852295
42,IoT_2020-BOLE-HT,98.81,94.31,94.69999999999999,94.51,1.4865169525146484
43,IoT_2020-BAG-HT,98.47,95.76,89.56,92.41,1.2134959697723389
44,IoT_2020-LEVBAG-HT,99.32,99.15,94.54,96.72,5.848557949066162
45,IoT_2020-SRP-HT,98.21,94.54,88.11,91.03999999999999,4.513067007064819
46,IoT_2020-SRP-ADWIN,99.31,99.31,94.24,96.61,7.363554000854492
47,IoT_2020-SRP-DDM,99.48,99.41,95.78999999999999,97.52,5.646130800247192
48,IoT_2020-ARF-ADWIN,99.52,99.59,95.95,97.69,0.8933367729187012
49,IoT_2020-ARF-DDM,99.4,98.89,95.45,97.1,1.4210600852966309
50,IoT_2020-AMF,99.5,99.74,95.65,97.6,16.722309827804565
51,IoT_2020-EFDT,98.47,94.66,90.73,92.58999999999999,4.043458938598633
52,IoT_2020-HAT,98.00999999999999,92.55,88.3,90.29,0.6404109001159668
53,IoT_2020-HTC,98.74000000000001,97.59,90.42999999999999,93.67999999999999,0.394273042678833
54,IoT_2020-SGT,98.61,98.34,88.62,92.86,2.0927071571350098
55,IoT_2020-ADWIN-BA-HT,97.53,97.00999999999999,79.44,85.96000000000001,1.4807260036468506
56,IoT_2020-ADWIN-BO-HT,98.1,92.15,89.8,90.94,1.4943392276763916
57,IoT_2020-ADA-HT,98.77,96.41,91.91,94.03,1.5466721057891846
58,IoT_2020-BOLE-HT,99.25,98.48,94.5,96.39,1.6527678966522217
59,IoT_2020-BAG-HT,98.67,97.36,89.96,93.30000000000001,1.219848871231079
60,IoT_2020-LEVBAG-HT,99.42999999999999,99.38,95.32000000000001,97.25,5.684514999389648
61,IoT_2020-SRP-HT,98.50999999999999,95.66,90.02,92.63,4.4466211795806885
62,IoT_2020-SRP-ADWIN,99.45,99.71,95.19,97.33000000000001,5.4516661167144775
63,IoT_2020-SRP-DDM,99.48,99.41,95.78999999999999,97.52,5.702632188796997
64,IoT_2020-ARF-ADWIN,99.56,99.61,96.26,97.87,0.9120111465454102
65,IoT_2020-ARF-DDM,99.48,99.25,95.93,97.53,1.636307954788208
